scalar,RGB_r,RGB_g,RGB_b
0.582677165,0.103483576,0.447394326,0.021559189
0.57480315,0.139516954,0.453608131,0.021934957
0.566929134,0.174470861,0.459319277,0.022037276
0.559055118,0.20904346,0.464485589,0.022222471
0.551181102,0.243383399,0.469094432,0.022478394
0.543307087,0.277535263,0.47314017,0.0228005
0.535433071,0.311415357,0.476641505,0.022754318
0.527559055,0.34516373,0.479569101,0.023218235
0.519685039,0.378593088,0.481969518,0.023326564
0.511811024,0.411692563,0.483855448,0.023077132
0.503937008,0.444491166,0.485222498,0.023443243
0.496062992,0.477250607,0.486006805,0.023498082
0.488188976,0.512288715,0.485420696,0.024436576
0.480314961,0.550085547,0.483062093,0.026634898
0.472440945,0.590779909,0.47856183,0.028386081
0.464566929,0.634459806,0.471450886,0.030247988
0.456692913,0.681079387,0.461189826,0.032578387
0.448818898,0.730480679,0.447138697,0.035092889
0.440944882,0.782349968,0.428538496,0.037295644
0.433070866,0.835925452,0.404670212,0.039891862
0.42519685,0.890183718,0.374803407,0.04266466
0.417322835,0.943822843,0.338246293,0.045091453
0.409448819,0.958448194,0.340226457,0.128228714
0.401574803,0.961275352,0.355317838,0.187269149
0.393700787,0.963148338,0.371207017,0.227855399
0.385826772,0.964571136,0.387330858,0.257803021
0.377952756,0.965652552,0.40353875,0.280908297
0.37007874,0.967080546,0.418561279,0.309837786
0.362204724,0.968909576,0.432201949,0.347371848
0.354330709,0.971004971,0.444591924,0.392339735
0.346456693,0.973296863,0.456006384,0.440698682
0.338582677,0.974641248,0.467497649,0.490521595
0.330708661,0.975083859,0.479122557,0.540143382
0.322834646,0.975694748,0.490173233,0.588403094
0.31496063,0.976119404,0.501009058,0.63510051
0.307086614,0.976685544,0.511472385,0.680032244
0.299212598,0.977112751,0.521842588,0.723101591
0.291338583,0.97769928,0.53197248,0.764272452
0.283464567,0.978138888,0.542149412,0.803399169
0.275590551,0.978590042,0.552319908,0.840444463
0.267716535,0.979083099,0.562518784,0.875361499
0.25984252,0.979639509,0.572782102,0.908112239
0.251968504,0.980038506,0.583322694,0.938451162
0.244094488,0.980651722,0.593751638,0.967592293
0.236220472,0.967436756,0.614375206,0.981524676
0.228346457,0.946741046,0.640042014,0.982799132
0.220472441,0.929926822,0.662548863,0.983833197
0.212598425,0.916608517,0.682572954,0.984759973
0.204724409,0.906408933,0.700624876,0.985649334
0.196850394,0.89896328,0.717102358,0.986508017
0.188976378,0.893840188,0.732378454,0.987112986
0.181102362,0.890948598,0.746555033,0.987858871
0.173228346,0.889873194,0.759916955,0.988439989
0.165354331,0.89044351,0.772564063,0.989040539
0.157480315,0.892415167,0.784629599,0.989659127
0.149606299,0.895554189,0.796229783,0.990283681
0.141732283,0.899569366,0.807512929,0.990702364
0.133858268,0.90439334,0.818474332,0.991288428
0.125984252,0.909658214,0.829291435,0.991693839
0.118110236,0.913941285,0.840415117,0.992367358
0.11023622,0.917111605,0.851920941,0.992924098
0.102362205,0.919119624,0.863796772,0.993505491
0.094488189,0.920255231,0.875948512,0.993931753
0.086614173,0.921004786,0.888165348,0.994603608
0.078740157,0.921638131,0.900389174,0.995198132
0.070866142,0.922463297,0.912519869,0.995748152
0.062992126,0.923718191,0.924486681,0.996273408
0.05511811,0.92566976,0.936246849,0.996436246
0.047244094,0.928559854,0.947712427,0.996497849
0.039370079,0.932504041,0.958830673,0.996784172
0.031496063,0.93796893,0.9695003,0.996995308
0.023622047,0.945428774,0.979572852,0.997334829
0.015748031,0.955863673,0.988756069,0.997896666
0.007874016,0.971931481,0.996253565,0.998623621
0,1,1,1
